"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
52,Ireland,1734582,,9491,,1724921,,170,19,345521,1891,13083449,2606161,5020199,Europe,3,529,0,,,34
53,Pakistan,1581936,,30664,,1538689,,12583,,6893,134,30589153,133292,229488994,Asia,145,7484,8,,,55
54,Finland,1516117,,11958,,1503989,+14,170,N/A,272930,2153,12108977,2179850,5554960,Europe,4,465,0,,,31
55,Norway,1509732,,6638,,1503094,,0,N/A,273930,1204,11002430,1996315,5511370,Europe,4,830,1,,,
56,Kazakhstan,1411831,,13848,,1383020,,14963,24,73514,721,11575012,602707,19205043,Asia,14,1387,2,,,779
57,Lithuania,1397806,,9897,,1387478,,431,N/A,525154,3718,10540357,3959997,2661708,Europe,2,269,0,,,162
58,Slovenia,1356546,,7100,,1349424,,22,N/A,652803,3417,2847701,1370382,2078034,Europe,2,293,1,,,11
59,Bulgaria,1339851,,38748,,1292944,,8159,22,195753,5661,11671043,1705147,6844597,Europe,5,177,1,,,1192
60,Croatia,1309728,,18687,,1258432,,32609,,322650,4604,5660084,1394355,4059286,Europe,3,217,1,,,8033
61,Guatemala,1291293,,20289,,1269891,,1113,5,69484,1092,7593848,408622,18584039,North America,14,916,2,,,60
62,Morocco,1278992,,16303,,N/A,N/A,N/A,N/A,33860,432,13001033,344191,37772756,Africa,30,2317,3,,,173
63,Lebanon,1243838,,10952,,1087587,,145299,74,186068,1638,4795578,717380,6684849,Asia,5,610,1,,,21736
64,Costa Rica,1238883,,9428,,N/A,N/A,N/A,N/A,239058,1819,4659757,899158,5182354,North America,4,550,1,,,71154
65,Bolivia,1212131,,22407,,1177145,,12579,220,101073,1868,2710261,225993,11992656,South America,10,535,4,,,1049
66,Tunisia,1153361,,29423,,N/A,N/A,N/A,N/A,95741,2442,5013383,416164,12046656,Africa,10,409,2,,,1157
67,Cuba,1115251,,8530,,1106660,,61,,98645,754,14402674,1273936,11305652,North America,10,1325,1,,,5
68,Ecuador,1070188,,36043,,1034145,,0,,59083,1990,3082403,170173,18113361,South America,17,503,6,,,
69,UAE,1067030,,2349,,N/A,N/A,N/A,,105837,233,200732262,19910389,10081785,Asia,9,4292,0,,,1007
70,Panama,1059893,,8727,,1051102,,64,16,238341,1962,7882622,1772585,4446964,North America,4,510,1,,,14
71,Uruguay,1041111,,7664,,1030944,,2503,18,297799,2192,6114822,1749083,3496016,South America,3,456,1,,,716
72,Mongolia,1011496,,2284,,1009212,,0,N/A,299429,676,4030048,1193000,3378078,Asia,3,1479,1,,,
73,Nepal,1003450,,12031,,991322,,97,,33199,398,6047766,200088,30225582,Asia,30,2512,5,,,3
74,Belarus,994037,,7118,,985592,,1327,,105381,755,13646641,1446722,9432800,Europe,9,1325,1,,,141
75,Latvia,982505,,6715,,971406,,4384,,531418,3632,7885792,4265272,1848837,Europe,2,275,0,,,2371
76,Saudi Arabia,841469,,9646,,N/A,N/A,N/A,,23475,269,45481735,1268848,35844909,Asia,43,3716,1,,,109
77,Paraguay,837602,,20155,,N/A,N/A,N/A,N/A,114648,2759,2657506,363751,7305843,South America,9,362,3,,,16306
78,Azerbaijan,835234,,10400,,824089,,745,,81089,1010,7748050,752223,10300205,Asia,12,990,1,,,72
79,Bahrain,729549,,1574,,727915,,60,N/A,408944,882,10948549,6137138,1783983,Asia,2,1133,0,,,34
80,Cyprus,681110,,1365,,679745,,0,,556741,1116,9640118,7879860,1223387,Asia,2,896,0,,,
81,Dominican Republic,675890,,4384,,671316,,190,4,61131,397,3740928,338350,11056370,North America,16,2522,3,,,17
82,Sri Lanka,672754,,16897,,655852,,5,,31181,783,6486117,300619,21575842,Asia,32,1277,3,,,0.2
83,Kuwait,667158,,2570,,N/A,N/A,N/A,,152308,587,8455743,1930391,4380326,Asia,7,1704,1,,,993
84,Myanmar,641873,,19495,,620159,,2219,,11622,353,11711514,212061,55227143,Asia,86,2833,5,,,40
85,Moldova,635145,,12218,,N/A,N/A,N/A,N/A,158265,3044,3216305,801437,4013171,Europe,6,328,1,,,29599
86,Estonia,628070,,3001,,N/A,N/A,N/A,N/A,475123,2270,6968103,5271239,1321910,Europe,2,440,0,,,75708
87,Palestine,621008,,5404,,615445,,159,,116173,1011,3078533,575907,5345541,Asia,9,989,2,,,30
88,Venezuela,552695,,5856,,546537,,302,31,18885,200,3359014,114771,29266991,South America,53,4998,9,,,10
89,Egypt,516023,,24613,,442182,,49228,122,4861,232,3693367,34792,106156692,Africa,206,4313,29,,,464
90,Qatar,514524,,690,,513687,,147,16,172664,232,4065369,1364257,2979915,Asia,6,4319,1,,,49
91,Libya,507274,,6437,,500835,,2,,72048,914,2483848,352782,7040745,Africa,14,1094,3,,,0.3
92,Ethiopia,501157,,7574,,488171,,5412,,4148,63,5565340,46066,120812698,Africa,241,15951,22,,,45
93,Réunion,494595,,921,,N/A,N/A,N/A,N/A,544672,1014,1603660,1766027,908061,Africa,2,986,1,,,82706
94,Honduras,474590,,11165,,N/A,N/A,N/A,N/A,46432,1092,1660662,162472,10221247,North America,22,915,6,,,32372
95,Armenia,451831,,8777,,435162,,7892,,152031,2953,3242901,1091164,2971966,Asia,7,339,1,,,2655
96,Bosnia and Herzegovina,403615,,16388,,379084,,8143,,124215,5044,1884721,580036,3249317,Europe,8,198,2,,,2506
97,Oman,399449,,4628,,N/A,N/A,N/A,,75028,869,25000000,4695724,5323993,Asia,13,1150,0,,,1907
98,Luxembourg,391232,,1232,,N/A,N/A,N/A,,609044,1918,4587145,7140959,642371,Europe,2,521,0,,,114124
99,North Macedonia,350567,,9976,,337068,,3523,,168436,4793,2226216,1069626,2081304,Europe,6,209,1,,,1693
100,Zambia,349304,,4069,,341316,,3919,,17940,209,4112961,211244,19470234,Africa,56,4785,5,,,201
101,Kenya,344130,,5689,,337309,,1132,N/A,6122,101,3967062,70569,56215221,Africa,163,9881,14,,,20
102,Brunei,343719,,225,,243601,,99893,3,771655,505,717784,1611437,445431,Asia,1,1980,1,,,224261
103,Albania,334863,,3605,,330233,,1025,,116825,1258,1941032,677173,2866374,Europe,9,795,1,,,358
104,Botswana,330638,,2801,,327049,,788,1,135443,1147,2026898,830300,2441162,Africa,7,872,1,,,323
105,Montenegro,296542,,2846,,291794,,1902,N/A,472238,4532,2769281,4410034,627950,Europe,2,221,0,,,3029
106,Algeria,272010,,6881,,183061,,82068,,5998,152,230960,5093,45350148,Africa,167,6591,196,,,1810
107,Nigeria,267188,,3155,,259953,,4080,11,1233,15,5708974,26339,216746934,Africa,811,68700,38,,,19
108,Zimbabwe,266359,,5740,,258888,,1731,12,17373,374,2525756,164744,15331428,Africa,58,2671,6,,,113
109,Uzbekistan,253662,,1637,,241486,,10539,23,7378,48,1377915,40077,34382084,Asia,136,21003,25,,,307
110,Afghanistan,234174,,7996,,211080,,15098,,5746,196,1390730,34125,40754388,Asia,174,5097,29,,,370
111,Mozambique,233731,,2250,,228805,,2676,11,7064,68,1371127,41437,33089461,Africa,142,14706,24,,,81
112,Martinique,230354,,1102,,N/A,N/A,N/A,N/A,615777,2946,828928,2215870,374087,North America,2,339,0,,,612553
113,Laos,218970,,758,,N/A,N/A,N/A,,29270,101,1233207,164845,7481023,Asia,34,9869,6,,,28145
114,Iceland,209906,,229,,N/A,N/A,N/A,,607731,663,1996384,5780036,345393,Europe,2,1508,0,,,387941
115,Kyrgyzstan,206897,,2991,,196406,,7500,131,30750,445,1907195,283460,6728271,Asia,33,2250,4,,,1115
116,Guadeloupe,203235,,1021,,N/A,N/A,N/A,N/A,508349,2554,938039,2346306,399794,North America,2,392,0,,,500168
117,El Salvador,201855,,4230,,179410,,18215,,30816,646,2610114,398467,6550389,North America,32,1549,3,,,2781
118,Trinidad and Tobago,191496,,4390,,187078,,28,N/A,136143,3121,913289,649295,1406585,North America,7,320,2,,,20
119,Maldives,186694,,316,,163687,,22691,25,345100,584,2213831,4092223,540985,Asia,3,1712,0,,,41944
120,Namibia,172389,,4106,,167099,,1184,,65451,1559,1062663,403460,2633874,Africa,15,641,2,,,450
121,Uganda,172149,,3632,,100431,,68086,,3554,75,3012408,62198,48432863,Africa,281,13335,16,,,1406
122,Ghana,171889,,1462,,170425,,2,,5306,45,2541625,78456,32395450,Africa,188,22158,13,,,0.06
123,Jamaica,156869,,3756,,N/A,N/A,N/A,,52551,1258,1183986,396633,2985094,North America,19,795,3,,,16712
124,Cambodia,139103,,3056,,136044,,3,,8102,178,3091420,180062,17168639,Asia,123,5618,6,,,0.2
125,Rwanda,133518,,1468,,132039,,11,,9817,108,6021981,442778,13600464,Africa,102,9265,2,,,0.8
126,Cameroon,125379,,1974,,123280,,125,N/A,4492,71,1751774,62762,27911548,Africa,223,14140,16,,,4
